customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,segment
CUST-1000,13,4,449.7,5,4,4,544,Champions
CUST-1001,189,1,60.16,2,1,1,211,Lost Customers
CUST-1002,27,4,562.61,5,4,4,544,Champions
CUST-1003,116,2,220.33999999999997,3,2,3,323,New Customers
CUST-1004,124,4,202.96,2,4,2,242,At Risk
CUST-1005,7,4,389.37,5,4,4,544,Champions
CUST-1006,221,3,413.87,1,3,4,134,At Risk
CUST-1007,138,1,70.42,2,1,1,211,Lost Customers
CUST-1008,22,6,413.62,5,5,4,554,Champions
CUST-1009,23,4,272.26,5,4,3,543,Champions
CUST-1010,7,2,227.27,5,2,3,523,Potential Loyalists
CUST-1011,23,4,202.06,5,4,2,542,Champions
CUST-1012,72,5,412.67,3,5,4,354,Loyal Customers
CUST-1013,235,3,74.8,1,3,1,131,At Risk
CUST-1014,97,6,841.36,3,5,5,355,Loyal Customers
CUST-1016,67,4,964.61,4,4,5,445,Champions
CUST-1017,30,7,833.7,5,5,5,555,Champions
CUST-1018,161,3,329.03,2,3,3,233,At Risk
CUST-1019,156,3,617.8199999999999,2,3,5,235,At Risk
CUST-1020,64,3,217.86,4,3,2,432,Loyal Customers
CUST-1021,25,2,133.24,5,2,2,522,Potential Loyalists
CUST-1022,77,4,209.55,3,4,2,342,Loyal Customers
CUST-1023,137,3,364.36,2,3,4,234,At Risk
CUST-1024,171,2,81.4,2,2,1,221,Lost Customers
CUST-1025,233,4,458.37,1,4,4,144,At Risk
CUST-1026,271,2,119.71,1,2,2,122,Lost Customers
CUST-1027,51,4,493.76,4,4,4,444,Champions
CUST-1028,26,3,105.69000000000001,5,3,1,531,Loyal Customers
CUST-1029,24,4,267.65,5,4,3,543,Champions
CUST-1030,92,7,1352.5800000000002,3,5,5,355,Loyal Customers
CUST-1031,100,5,599.85,3,5,5,355,Loyal Customers
CUST-1032,342,1,59.06,1,1,1,111,Lost Customers
CUST-1033,12,5,1699.03,5,5,5,555,Champions
CUST-1034,9,4,793.02,5,4,5,545,Champions
CUST-1035,186,3,99.72,2,3,1,231,At Risk
CUST-1036,167,2,296.59999999999997,2,2,3,223,Lost Customers
CUST-1037,69,4,344.09000000000003,4,4,3,443,Champions
CUST-1038,9,2,1048.89,5,2,5,525,Potential Loyalists
CUST-1039,195,2,164.9,1,2,2,122,Lost Customers
CUST-1040,19,4,426.43,5,4,4,544,Champions
CUST-1041,16,3,414.96,5,3,4,534,Loyal Customers
CUST-1042,102,4,503.16,3,4,4,344,Loyal Customers
CUST-1043,145,4,640.51,2,4,5,245,At Risk
CUST-1044,283,3,526.86,1,3,4,134,At Risk
CUST-1045,100,3,701.33,3,3,5,335,Loyal Customers
CUST-1046,39,3,521.12,4,3,4,434,Loyal Customers
CUST-1047,18,4,659.44,5,4,5,545,Champions
CUST-1048,22,3,308.85,5,3,3,533,Loyal Customers
CUST-1049,95,3,254.26,3,3,3,333,Loyal Customers
CUST-1050,143,3,254.62,2,3,3,233,At Risk
CUST-1051,160,1,18.85,2,1,1,211,Lost Customers
CUST-1052,1,6,1088.88,5,5,5,555,Champions
CUST-1053,70,4,218.57,3,4,2,342,Loyal Customers
CUST-1054,115,3,267.81,3,3,3,333,Loyal Customers
CUST-1055,46,3,1011.0400000000001,4,3,5,435,Loyal Customers
CUST-1056,9,5,365.23,5,5,4,554,Champions
CUST-1057,92,3,242.39000000000001,3,3,3,333,Loyal Customers
CUST-1058,97,4,457.8,3,4,4,344,Loyal Customers
CUST-1059,10,3,620.15,5,3,5,535,Loyal Customers
CUST-1060,198,3,723.1700000000001,1,3,5,135,At Risk
CUST-1061,255,1,120.99,1,1,2,112,Lost Customers
CUST-1062,4,1,242.4,5,1,3,513,Potential Loyalists
CUST-1063,89,4,269.43,3,4,3,343,Loyal Customers
CUST-1064,124,4,781.32,2,4,5,245,At Risk
CUST-1065,15,5,911.37,5,5,5,555,Champions
CUST-1066,16,4,1396.83,5,4,5,545,Champions
CUST-1067,85,2,311.78,3,2,3,323,New Customers
CUST-1068,107,3,259.03,3,3,3,333,Loyal Customers
CUST-1069,34,3,516.37,4,3,4,434,Loyal Customers
CUST-1071,109,2,264.36,3,2,3,323,New Customers
CUST-1072,95,5,859.47,3,5,5,355,Loyal Customers
CUST-1073,152,1,304.7,2,1,3,213,Lost Customers
CUST-1074,63,3,458.81,4,3,4,434,Loyal Customers
CUST-1075,289,1,71.46,1,1,1,111,Lost Customers
CUST-1076,302,1,67.98,1,1,1,111,Lost Customers
CUST-1077,123,4,159.88,2,4,2,242,At Risk
CUST-1078,66,4,337.58,4,4,3,443,Champions
CUST-1079,33,4,490.3,4,4,4,444,Champions
CUST-1080,38,1,48.92,4,1,1,411,Potential Loyalists
CUST-1081,37,3,218.75000000000003,4,3,2,432,Loyal Customers
CUST-1082,103,7,561.02,3,5,4,354,Loyal Customers
CUST-1083,35,2,313.55,4,2,3,423,Potential Loyalists
CUST-1084,6,6,728.75,5,5,5,555,Champions
CUST-1085,39,6,895.93,4,5,5,455,Champions
CUST-1086,120,3,232.5,2,3,3,233,At Risk
CUST-1087,70,5,623.48,3,5,5,355,Loyal Customers
CUST-1088,336,1,155.2,1,1,2,112,Lost Customers
CUST-1089,65,3,278.4,4,3,3,433,Loyal Customers
CUST-1090,10,4,729.01,5,4,5,545,Champions
CUST-1091,80,5,1399.63,3,5,5,355,Loyal Customers
CUST-1092,251,1,168.32,1,1,2,112,Lost Customers
CUST-1093,141,4,287.74,2,4,3,243,At Risk
CUST-1094,47,6,529.79,4,5,4,454,Champions
CUST-1095,69,3,408.14,4,3,4,434,Loyal Customers
CUST-1096,156,2,34.99,2,2,1,221,Lost Customers
CUST-1098,175,2,782.61,2,2,5,225,Lost Customers
CUST-1099,108,7,1086.12,3,5,5,355,Loyal Customers
CUST-1100,165,2,158.66,2,2,2,222,Lost Customers
CUST-1101,3,3,228.20999999999998,5,3,3,533,Loyal Customers
CUST-1102,128,3,325.34,2,3,3,233,At Risk
CUST-1103,293,2,379.58,1,2,4,124,Lost Customers
CUST-1104,30,5,652.75,5,5,5,555,Champions
CUST-1105,23,2,78.56,5,2,1,521,Potential Loyalists
CUST-1106,14,7,790.64,5,5,5,555,Champions
CUST-1107,302,3,303.81,1,3,3,133,At Risk
CUST-1108,302,1,41.77,1,1,1,111,Lost Customers
CUST-1109,20,5,287.63,5,5,3,553,Champions
CUST-1110,68,7,1008.88,4,5,5,455,Champions
CUST-1111,67,8,689.66,4,5,5,455,Champions
CUST-1112,17,3,243.58,5,3,3,533,Loyal Customers
CUST-1113,129,4,332.09000000000003,2,4,3,243,At Risk
CUST-1114,11,5,698.02,5,5,5,555,Champions
CUST-1115,132,4,508.15,2,4,4,244,At Risk
CUST-1116,126,2,98.99000000000001,2,2,1,221,Lost Customers
CUST-1117,34,3,468.79999999999995,4,3,4,434,Loyal Customers
CUST-1118,38,4,815.7,4,4,5,445,Champions
CUST-1119,77,2,279.17,3,2,3,323,New Customers
CUST-1120,302,2,198.0,1,2,2,122,Lost Customers
CUST-1121,347,1,147.22,1,1,2,112,Lost Customers
CUST-1122,104,6,501.53999999999996,3,5,4,354,Loyal Customers
CUST-1123,94,4,1264.8999999999999,3,4,5,345,Loyal Customers
CUST-1124,120,3,490.47,2,3,4,234,At Risk
CUST-1125,2,6,382.65,5,5,4,554,Champions
CUST-1126,73,4,364.32,3,4,4,344,Loyal Customers
CUST-1127,113,2,226.26999999999998,3,2,3,323,New Customers
CUST-1128,8,4,233.72,5,4,3,543,Champions
CUST-1129,82,2,66.97,3,2,1,321,New Customers
CUST-1130,51,3,210.76999999999998,4,3,2,432,Loyal Customers
CUST-1131,120,2,85.33,2,2,1,221,Lost Customers
CUST-1132,324,1,110.77,1,1,1,111,Lost Customers
CUST-1134,144,4,391.43,2,4,4,244,At Risk
CUST-1135,190,3,550.14,2,3,4,234,At Risk
CUST-1136,26,4,390.54999999999995,5,4,4,544,Champions
CUST-1137,286,3,377.73,1,3,4,134,At Risk
