invoice_id,customer_id,transaction_date,product,category,quantity,unit_price,total_price,country
INV-14945,CUST-2172,2023-01-01,Candle,Home & Garden,2,41.53,83.06,Spain
INV-18054,CUST-2476,2023-01-01,Running Shoes,Sports,1,102.18,102.18,Italy
INV-14991,CUST-1192,2023-01-01,Yoga Mat,Sports,1,40.77,40.77,France
INV-12960,CUST-2399,2023-01-01,Fiction Novel,Books,1,19.31,19.31,Spain
INV-14535,CUST-3673,2023-01-01,Self-Help Book,Books,1,43.17,43.17,Australia
INV-12954,CUST-3058,2023-01-01,Hat,Clothing,2,60.66,121.32,Germany
INV-13208,CUST-1588,2023-01-01,Water Bottle,Sports,2,180.32,360.64,Germany
INV-15150,CUST-1209,2023-01-01,Keyboard,Electronics,1,146.55,146.55,Sweden
INV-18974,CUST-2399,2023-01-01,Sweater,Clothing,2,37.63,75.26,Italy
INV-13387,CUST-3278,2023-01-01,Dumbbell Set,Sports,1,81.34,81.34,France
INV-18462,CUST-3174,2023-01-01,Cookbook,Books,1,19.04,19.04,United Kingdom
INV-11310,CUST-1246,2023-01-01,Webcam,Electronics,2,144.75,289.5,Germany
INV-17122,CUST-3903,2023-01-01,Hat,Clothing,3,101.19,303.57,Spain
INV-12414,CUST-4658,2023-01-01,Cookbook,Books,3,43.37,130.11,France
INV-18456,CUST-3935,2023-01-01,Plant Pot,Home & Garden,1,21.43,21.43,Australia
INV-10794,CUST-3143,2023-01-01,Candle,Home & Garden,1,38.85,38.85,United States
INV-17510,CUST-1522,2023-01-01,Cushion,Home & Garden,3,78.85,236.55,Netherlands
INV-11487,CUST-2273,2023-01-01,Plant Pot,Home & Garden,4,69.73,278.92,Sweden
INV-12611,CUST-1234,2023-01-01,Phone Case,Electronics,2,71.73,143.46,Italy
INV-19390,CUST-3866,2023-01-01,USB Cable,Electronics,4,121.52,486.08,United States
INV-15121,CUST-4482,2023-01-02,Running Shoes,Sports,2,159.89,319.78,United Kingdom
INV-12707,CUST-2806,2023-01-02,Lamp,Home & Garden,2,18.38,36.76,Spain
INV-17731,CUST-3691,2023-01-02,Travel Guide,Books,1,46.4,46.4,Netherlands
INV-11329,CUST-4841,2023-01-02,Tennis Racket,Sports,2,61.79,123.58,Italy
INV-12054,CUST-3181,2023-01-02,Cookbook,Books,1,46.96,46.96,Canada
INV-18475,CUST-3693,2023-01-02,Cookbook,Books,1,18.86,18.86,France
INV-12673,CUST-3711,2023-01-02,Running Shoes,Sports,1,101.45,101.45,United States
INV-19714,CUST-1605,2023-01-02,Jacket,Clothing,3,89.48,268.44,Australia
INV-17376,CUST-2885,2023-01-02,Running Shoes,Sports,2,156.07,312.14,United Kingdom
INV-11548,CUST-4022,2023-01-02,Keyboard,Electronics,1,55.39,55.39,France
INV-14589,CUST-1769,2023-01-02,Picture Frame,Home & Garden,1,30.95,30.95,Germany
INV-18403,CUST-4424,2023-01-02,Water Bottle,Sports,3,99.73,299.19,Italy
INV-15667,CUST-3726,2023-01-02,Running Shoes,Sports,2,59.95,119.9,Germany
INV-16448,CUST-2092,2023-01-02,Candle,Home & Garden,1,68.6,68.6,Canada
INV-17817,CUST-1743,2023-01-02,Candle,Home & Garden,1,24.55,24.55,Spain
INV-16570,CUST-1439,2023-01-02,Picture Frame,Home & Garden,2,12.74,25.48,United Kingdom
INV-11003,CUST-2055,2023-01-02,Plant Pot,Home & Garden,4,59.0,236.0,Sweden
INV-19325,CUST-2810,2023-01-02,Lamp,Home & Garden,1,62.03,62.03,France
INV-10054,CUST-2366,2023-01-02,Wireless Mouse,Electronics,3,100.63,301.89,United States
INV-13377,CUST-3266,2023-01-02,Travel Guide,Books,1,34.75,34.75,Netherlands
INV-19402,CUST-2379,2023-01-02,Phone Case,Electronics,1,47.08,47.08,Australia
INV-18417,CUST-1462,2023-01-02,Football,Sports,2,102.61,205.22,Italy
INV-12859,CUST-1765,2023-01-02,Travel Guide,Books,3,42.99,128.97,Italy
INV-15565,CUST-4347,2023-01-03,Cookbook,Books,1,35.01,35.01,Spain
INV-19391,CUST-2837,2023-01-03,Headphones,Electronics,3,88.82,266.46,United Kingdom
INV-12257,CUST-2852,2023-01-03,Cookbook,Books,1,46.01,46.01,Canada
INV-15162,CUST-4430,2023-01-03,Self-Help Book,Books,2,31.34,62.68,Spain
INV-17959,CUST-3059,2023-01-03,Wireless Mouse,Electronics,1,30.62,30.62,Germany
INV-11207,CUST-2077,2023-01-03,Lamp,Home & Garden,2,72.36,144.72,Sweden
INV-15621,CUST-1090,2023-01-03,Dumbbell Set,Sports,2,54.78,109.56,Australia
INV-17979,CUST-4361,2023-01-03,T-Shirt,Clothing,1,95.55,95.55,Spain
INV-19337,CUST-1434,2023-01-03,Webcam,Electronics,1,41.27,41.27,Italy
INV-19197,CUST-3811,2023-01-03,Wireless Mouse,Electronics,5,134.16,670.8,Italy
